R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Ryan Benoit,Zarrukh Adashev,-140,120,71.42857143,120,31/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Flyweight,MALE,3,2,0,0,3.54,0.39,0.5,0,0,0,2,4,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,125,2,0,0,2.88,0.39,0.4,0.28,0.22,1,5,20,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,31,29,0,0,-1,-3,-3,-16,0,-2,0,0,-7.62,-2,0.66,0.1,-0.28,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,05:00,900,180,250,900,1000,350,400
Phil Rowe,Orion Cosce,145,-165,145,60.60606061,31/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.7,0.55,0,1.87,0.42,1,0,3,0,0,0,0,1,0,0,1,Switch,180.34,180.34,170,1,0,0,4.97,0.56,0,0.87,0.33,1,1,6,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,170,31,27,-1,1,0,0,-1,-3,0,0,0,-10.16,-22.86,-4,-1.27,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,04:21,561,380,300,650,800,450,175
Cory Sandhagen,TJ Dillashaw,-210,175,47.61904762,175,24/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,5,1,0,0,5.26,0.41,0.8,1.63,0.3,4,4,43,7,0,0,4,7,1,0,12,Orthodox,167.64,170.18,135,0,2,0,6.32,0.47,0.6,0.74,0.44,5,1,15,0,0,1,1,4,1,0,7,Switch,180.34,177.8,135,29,35,1,-2,-1,5,3,28,7,3,0,-12.7,-7.62,6,-1.06,0.2,0.89,1,1,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,Red,S-DEC,,5,05:00,1500,500,500,600,1100,110,400
Kyler Phillips,Raulian Paiva,-320,250,31.25,250,24/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,2,0,4.24,0.43,0.2,0.62,0.27,2,2,12,0,0,1,1,1,0,0,3,Orthodox,172.72,175.26,125,0,4,0,5.2,0.49,0.3,3.2,0.55,4,0,9,0,0,0,2,2,0,0,4,Orthodox,172.72,182.88,135,26,25,0,-2,-2,-1,2,3,0,-1,0,0,-7.62,-1,-0.96,-0.1,-2.58,1,1,,14,,,,,,,,,,,14,,,,,,,,,,,,,,12,,Red,M-DEC,,3,05:00,900,-125,500,1000,1000,400,900
Darren Elkins,Darrick Minner,130,-155,130,64.51612903,24/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,2,0,2.96,0.66,4,3.11,0.7,2,2,7,0,0,0,1,0,1,0,2,Orthodox,170.18,175.26,145,0,1,0,3.46,0.38,1.1,2.67,0.33,6,8,60,0,0,2,8,3,2,0,15,Orthodox,177.8,180.34,145,37,31,0,1,-4,-13,-6,-53,0,-3,-1,-7.62,-5.08,-6,-0.5,2.9,0.44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,03:48,528,275,250,600,240,800,600
Miranda Maverick,Maycee Barber,-155,135,64.51612903,135,24/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,2,0,0,4.67,0.49,0.2,1.36,0.33,4,2,14,0,0,0,0,4,0,0,4,Switch,165.1,165.1,125,0,2,0,4.77,0.43,0,1.71,0.8,2,0,4,0,0,0,1,1,0,0,2,Southpaw,160.02,165.1,125,24,23,2,-2,2,2,2,10,0,3,0,5.08,0,-1,-0.1,0.2,-0.35,1,1,14,15,15,,,,,,,,,,,,,14,,,,,,,,,,,,,Blue,S-DEC,,3,05:00,900,120,275,650,1400,750,450
Adrian Yanez,Randy Costa,-240,195,41.66666667,195,24/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,8.64,0.46,0,0,0,2,1,4,0,0,0,0,2,0,0,2,Switch,175.26,185.42,135,0,3,0,6.13,0.38,0,0,0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,135,27,27,0,-1,-1,-1,1,-1,0,-1,0,5.08,7.62,0,2.51,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,02:11,431,380,500,1100,1600,-110,450
Punahele Soriano,Brendan Allen,-110,-110,90.90909091,90.90909091,24/07/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,4.1,0.52,1.6,1.29,0.45,4,1,10,0,0,0,1,1,3,0,5,Orthodox,187.96,190.5,185,0,3,0,4.44,0.43,0,1.58,0.66,3,0,5,0,0,0,1,2,0,0,3,Southpaw,180.34,182.88,185,28,25,0,-2,1,2,1,5,0,-1,3,7.62,7.62,-3,-0.34,1.6,-0.29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,05:00,900,500,500,1400,200,140,1000
Nassourdine Imavov,Ian Heinisch,135,-155,135,64.51612903,24/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,3.25,0.5,0.7,1.02,0.17,3,3,17,0,0,0,2,2,0,0,4,Orthodox,180.34,182.88,185,1,0,0,4.3,0.54,1.6,0.79,0.22,1,1,6,0,0,0,1,0,0,0,1,Orthodox,190.5,190.5,185,26,32,0,0,2,3,2,11,0,2,0,-10.16,-7.62,6,-1.05,-0.9,0.23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,03:09,489,275,120,1100,800,550,550
Mickey Gall,Jordan Williams,150,-170,150,58.82352941,24/07/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,5.97,0.5,0,1.23,0.57,1,2,10,0,0,0,0,1,0,0,1,Southpaw,185.42,190.5,185,1,0,0,2.6,0.46,2.4,1.32,0.28,3,3,16,0,0,0,1,0,4,0,5,Switch,187.96,187.96,170,29,30,0,0,-2,-4,-1,-6,0,1,-4,-2.54,2.54,1,3.37,-2.4,-0.09,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,02:57,177,400,215,350,1400,1100,175
