R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Phil Hawes,Nassourdine Imavov,-125,-105,80,95.23809524,2/20/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,4.17,0.61,2,0.5,0.12,1,1,0,0,0,0,0,0,0,0,1,Orthodox,190.5,190.5,185,0,4,0,3.44,0.58,0.4,2.7,0.38,4,1,1,0,0,0,0,0,0,0,4,Orthodox,182.88,195.58,185,32,25,1,-4,-3,-3,0,-1,0,0,0,7.62,-5.08,-7,0.73,1.6,-2.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,,,,600,375,1200,475,125,425
Andrei Arlovski,Tom Aspinall,200,-265,200,37.73584906,2/20/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,0,3,0,7.43,0.66,1.8,3.54,1,3,0,0,0,0,0,0,0,0,0,3,Orthodox,195.58,198.12,256,0,1,0,3.62,0.44,0.2,0.45,0.36,6,18,11,5,0,0,0,0,0,0,22,Orthodox,190.5,195.58,240,42,27,0,2,-3,-19,-18,-11,-5,0,0,5.08,2.54,-15,3.81,1.6,3.09,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,350,350,1200,2000,900,-150
Jared Gordon,Danny Chavez,110,-139,110,71.94244604,2/20/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,2.93,0.39,0,2.5,1,1,1,0,0,0,0,0,0,0,0,1,Orthodox,172.72,170.18,145,0,2,0,5.54,0.56,0,2.81,0.39,2,3,2,0,0,0,0,0,0,0,5,Orthodox,175.26,172.72,145,32,33,1,-2,-1,-4,-2,-2,0,0,0,-2.54,-2.54,1,-2.61,0,-0.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,180,300,700,1200,1000,200
Eddie Wineland,John Castaneda,100,-125,100,80,2/20/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,4.17,0.49,0,0.86,0.25,1,1,0,0,0,0,0,0,0,0,2,Switch,167.64,180.34,135,2,0,0,3.4,0.29,0.1,0.34,0.33,4,11,3,1,0,0,0,0,0,0,11,Orthodox,170.18,175.26,135,36,29,-2,1,-3,-9,-10,-3,-1,0,0,-2.54,5.08,-7,0.77,-0.1,0.52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,225,175,700,700,500,500
Nate Landwehr,Julian Erosa,-112,-112,89.28571429,89.28571429,2/20/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,5.07,0.47,0.9,1.32,0.54,2,4,5,0,0,0,0,0,0,0,4,Southpaw,185.42,187.96,145,1,0,0,7.02,0.5,0,0,0,1,2,1,0,0,0,0,0,0,0,1,Orthodox,175.26,182.88,145,32,31,-1,2,1,3,2,4,0,0,0,10.16,5.08,-1,-1.95,0.9,1.32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,275,300,1200,400,225,475
Shana Dobson,Casey O'Neill,125,-155,125,64.51612903,2/20/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,5.64,0.72,1.7,6.91,0.66,1,0,0,0,0,0,0,0,0,0,1,Orthodox,167.64,175.26,125,1,0,0,3.34,0.37,0,0.84,0.5,1,4,1,0,0,0,0,0,0,0,2,Orthodox,167.64,175.26,125,31,23,-1,1,0,-1,-4,-1,0,0,0,0,0,-8,2.3,1.7,6.07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,225,145,1000,525,550,600
Aiemann Zahabi,Drako Rodriguez,150,-190,150,52.63157895,2/20/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,2.57,0.35,2.8,2.75,1,1,1,0,0,0,0,0,0,0,0,1,Orthodox,172.72,175.26,135,0,1,0,2.82,0.4,0,0.33,0.16,1,2,1,0,0,0,0,0,0,0,2,Orthodox,172.72,172.72,135,33,24,1,-1,0,-1,-1,-1,0,0,0,0,2.54,-9,-0.25,2.8,2.42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,275,150,700,450,750,500
Serghei Spivac,Jared Vanderaa,-250,195,40,195,2/20/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,2.75,0.52,0,1.15,1,1,1,3,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,260,0,2,0,3.58,0.49,0.3,3.7,0.63,2,2,1,0,0,0,0,0,0,0,3,Orthodox,190.5,198.12,260,26,28,1,-2,-1,-2,-1,2,0,1,0,2.54,5.08,2,-0.83,-0.3,-2.55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,,700,,2000,,285
Kamaru Usman,Gilbert Burns,-278,228,35.97122302,228,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,TRUE,Welterweight,MALE,5,0,6,0,3.15,0.46,0.7,2.21,0.37,6,3,36,0,0,0,5,3,4,0,12,Orthodox,177.8,180.34,170,0,12,0,4.5,0.53,0.1,3.38,0.47,12,0,43,3,0,0,9,2,1,0,12,Switch,182.88,193.04,170,33,34,0,-6,-6,0,3,-7,-3,1,3,-5.08,-12.7,1,-1.35,0.6,-1.17,1,1,1,0,,,,,,,,0,,,,,5,,,,,,,,1,,,,,,Red,KO/TKO,,,,,110,800,1600,525,275,575
Maycee Barber,Alexa Grasso,-107,-107,93.45794393,93.45794393,2/13/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,5.35,0.42,0.5,0.32,0.4,1,3,19,0,0,1,3,0,0,0,4,Orthodox,165.1,167.64,125,1,0,0,6.02,0.6,0.3,0.95,0.3,4,1,11,0,0,0,0,4,0,0,4,Switch,165.1,165.1,125,22,27,-1,1,-3,0,2,8,0,-4,0,0,2.54,5,-0.67,0.2,-0.63,1,1,15,10,10,,,,,,,,,,,,,15,,,,,,,,,,,,,Red,U-DEC,,,,,300,110,800,1200,375,650
Kelvin Gastelum,Ian Heinisch,-205,174,48.7804878,174,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,3.62,0.52,0.5,1.16,0.19,3,2,14,0,0,0,2,2,0,0,4,Orthodox,180.34,182.88,185,3,0,0,3.72,0.43,0.1,0.87,0.37,5,6,44,1,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,29,32,-3,1,-2,-6,-4,-30,-1,-1,-2,5.08,2.54,3,-0.1,0.4,0.29,1,1,15,9,,,,,,,9,,,,,,,,,,,,,15,,,,,,,Red,U-DEC,,,,,105,250,900,1200,375,700
Ricky Simon,Brian Kelleher,-253,210,39.5256917,210,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,4.45,0.4,0.8,1.2,0.25,2,4,19,0,0,0,1,2,3,0,6,Switch,167.64,167.64,145,0,2,0,3.09,0.42,0.3,7.07,0.53,4,2,21,0,0,2,2,1,1,0,6,Orthodox,167.64,175.26,135,28,34,0,-1,-2,0,2,-2,0,1,2,0,-7.62,6,1.36,0.5,-5.87,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,-125,500,600,500,750,700
Maki Pitolo,Julian Marquez,145,-177,145,56.49717514,2/13/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,3.8,0.4,3,0,0,2,1,7,0,0,0,0,1,1,0,2,Orthodox,187.96,182.88,185,2,0,0,4.87,0.43,0.4,1.45,0.66,1,3,10,0,0,0,0,2,0,0,2,Orthodox,177.8,190.5,185,30,30,-1,0,1,0,-2,-3,0,-1,1,10.16,-7.62,0,-1.07,2.6,-1.45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,350,300,1600,450,300,225
Rodolfo Vieira,Anthony Hernandez,-487,365,20.5338809,365,2/13/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,5.03,0.53,0.9,5.27,0.66,1,2,6,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,185,0,2,0,1.85,0.46,2.4,6.05,0.55,2,0,3,0,0,0,0,0,2,0,2,Orthodox,182.88,185.42,185,31,27,1,-2,-1,-1,2,3,0,0,-1,0,5.08,-4,3.18,-1.5,-0.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,625,1000,-240,2000,800,475
Belal Muhammad,Dhiego Lima,-447,340,22.37136465,340,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,3,0,2.84,0.4,0.8,1.66,0.44,3,5,18,0,0,2,1,1,0,0,4,Orthodox,187.96,190.5,170,0,3,0,4.48,0.42,0.2,2.13,0.3,4,3,31,0,0,1,5,1,1,0,8,Orthodox,180.34,182.88,170,32,32,0,0,-1,-4,2,-13,0,0,-1,7.62,7.62,0,-1.64,0.6,-0.47,1,1,,13,,,,,,,,13,,,,,,,,,,,,,,,,,,,Red,U-DEC,,,,,-160,750,550,1200,450,850
Polyana Viana,Mallory Martin,100,-115,100,86.95652174,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,0,4.28,0.59,0.5,3.24,0.6,1,1,7,0,0,0,1,0,1,0,2,Orthodox,162.56,160.02,115,0,1,0,3.93,0.42,1.6,1.22,0.33,1,3,9,0,0,0,0,0,2,0,2,Orthodox,165.1,170.18,115,28,27,0,0,0,0,-2,-2,0,0,-1,-2.54,-10.16,-1,0.35,-1.1,2.02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,325,120,325,650,1000,850
Andre Ewell,Chris Gutierrez,112,-129,112,77.51937984,2/13/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Catch Weight,MALE,3,0,3,1,4.23,0.58,0.2,0.47,0.5,3,1,13,0,0,1,1,1,0,0,3,Orthodox,175.26,170.18,145,0,2,0,4.5,0.41,0,0.17,0.5,2,2,18,0,0,3,1,0,0,0,4,Southpaw,172.72,190.5,135,33,29,0,1,1,-1,-1,-5,0,1,0,2.54,-20.32,-4,-0.27,0.2,0.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,200,170,900,800,550,400
Gabe Green,Philip Rowe,-138,120,72.46376812,120,2/13/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,1,0,8.18,0.67,0,0,0,1,0,3,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,170,1,0,0,8.47,0.46,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Switch,177.8,185.42,170,27,30,-1,1,1,1,-1,0,0,1,0,12.7,17.78,3,-0.29,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,250,375,425,800,400,325
Alistair Overeem,Alexander Volkov,150,-182,150,54.94505495,02/06/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,5,0,1,0,4.76,0.58,0.2,0.69,0.7,4,2,26,0,0,1,2,3,0,0,6,Orthodox,200.66,203.2,250,0,2,0,3.71,0.64,0.8,1.44,0.56,11,15,83,1,1,0,4,20,8,0,33,Orthodox,193.04,203.2,265,40,32,0,-1,-7,-27,-13,-57,-1,-17,-8,7.62,0,-8,1.05,-0.6,-0.75,1,1,6,5,,,,,5,,,,,,,,,,,,,6,,,,,,,,,Red,KO/TKO,,,,,600,325,1200,1200,350,100
Cory Sandhagen,Frankie Edgar,-400,300,25,300,02/06/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,1,1,3.7,0.39,0.3,2.28,0.31,5,8,94,9,0,1,10,5,2,0,18,Orthodox,167.64,172.72,135,0,1,0,6.88,0.48,0.5,1.07,0.5,5,1,14,0,0,1,1,3,1,0,6,Switch,180.34,177.8,135,28,39,0,0,0,12,7,80,9,2,1,-12.7,-5.08,11,-3.18,-0.2,1.21,1,1,4,2,,,,,,,,,,,2,,,,,,,,,,,,,4,,,Red,KO/TKO,,,,,100,375,1000,1600,225,1800
Alexandre Pantoja,Manel Kape,-125,100,80,100,02/06/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,1,0,0,4.2,0.47,1.1,1.08,0.36,3,3,21,0,0,1,1,2,2,0,6,Orthodox,165.1,170.18,125,30,27,-1,0,-3,-6,-3,-21,0,-2,-2,0,2.54,-3,-4.2,-1.1,-1.08,1,1,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,Red,U-DEC,,,,,400,300,225,1600,600,225
Diego Ferreira,Beneil Dariush,-125,105,80,105,02/06/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,5,1,3.98,0.49,1.1,1.75,0.32,5,4,36,0,0,1,4,3,5,0,13,Southpaw,177.8,182.88,155,0,6,0,5.07,0.36,1,1.04,0.27,6,2,21,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,36,31,0,-1,-1,5,2,15,0,0,3,2.54,-5.08,-5,-1.09,0.1,0.71,1,1,13,10,,,,,,,,,10,,,,,,,,,,,,,13,,,,,Red,S-DEC,,,,,275,250,500,750,425,350
Michael Johnson,Clay Guida,-225,175,44.44444444,175,02/06/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,2,0,0,2.41,0.33,0.7,3.37,0.38,4,15,87,0,0,3,8,2,4,0,17,Orthodox,170.18,177.8,155,3,0,0,4.23,0.38,0.1,0.51,0.45,4,12,58,0,0,1,6,4,0,0,11,Southpaw,177.8,185.42,155,34,39,-1,0,0,6,3,29,0,-2,4,-7.62,-7.62,5,-1.82,0.6,2.86,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,135,250,1400,1000,235,1400
Mike Rodriguez,Danilo Marques,-240,188,41.66666667,188,02/06/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,3,0,1,0,1.07,0.72,0,4,0.25,1,0,3,0,0,0,1,0,0,0,1,Orthodox,198.12,195.58,205,1,0,0,5.19,0.59,0,0,0,1,3,13,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,35,-1,1,0,-2,-3,-10,0,-3,0,5.08,-12.7,3,-4.12,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,,,,,600,525,2000,550,-160,750
Molly McCann,Lara Procopio,-177,140,56.49717514,140,02/06/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,11,0.56,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,170.18,125,1,0,0,5.75,0.49,0.7,2.01,0.29,3,2,14,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,30,25,0,0,-3,-3,-1,-11,0,0,0,0,12.7,-5,5.25,-0.7,-2.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,115,175,1000,500,750,1400
SeungWoo Choi,Youssef Zalal,175,-230,175,43.47826087,02/06/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,2.68,0.51,1.5,2.25,0.42,3,1,12,0,0,0,3,0,0,0,3,Switch,177.8,182.88,145,0,1,0,3.33,0.42,0,0.69,0.5,1,2,9,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,145,28,24,1,-1,2,2,-1,3,0,0,0,-5.08,-5.08,-4,-0.65,1.5,1.56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,350,125,1400,450,600,425
Dustin Poirier,Conor McGregor,250,-305,250,32.78688525,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Lightweight,MALE,5,0,1,0,5.43,0.49,0,0.75,0.62,7,2,25,4,1,0,1,8,0,0,10,Southpaw,175.26,187.96,155,0,1,0,5.57,0.5,1.3,1.46,0.35,5,6,62,2,1,0,6,9,3,0,19,Southpaw,175.26,182.88,155,32,32,0,0,2,-9,-4,-37,2,-1,-3,0,5.08,0,-0.14,-1.3,-0.71,0,1,4,2,,,,,,,,,2,,,,,,,,,,,,,4,,,,,Red,KO/TKO,,,,,650,750,750,1600,675,-220
Dan Hooker,Michael Chandler,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,0,2,0,4.08,0.47,1.5,2.57,0.41,2,0,3,0,0,0,0,1,1,0,2,Orthodox,172.72,180.34,155,1,0,0,4.98,0.48,0.3,0.74,0.34,4,5,37,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,30,34,-1,2,-2,-8,-5,-34,0,-5,-1,-10.16,-10.16,4,-0.9,1.2,1.83,0,1,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,Red,KO/TKO,,,,,325,300,850,675,150,500
Jessica Eye,Joanne Calderwood,-105,-117,95.23809524,85.47008547,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,6.17,0.48,0.5,1.9,0.57,2,5,25,0,0,1,3,1,1,0,6,Orthodox,167.64,165.1,125,1,0,0,3.65,0.36,0.6,0.4,0.45,3,7,39,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,34,35,0,0,-1,1,-2,-14,-1,0,1,0,-2.54,1,2.52,-0.1,1.5,0,1,7,6,6,,,,,,,,,,,,,7,,,,,,,,,,,,,Red,U-DEC,,,,,125,140,1200,1000,900,600
Andrew Sanchez,Makhmud Muradov,115,-143,115,69.93006993,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,0,2,0,4.97,0.41,0.5,0.51,0.25,2,0,6,0,0,0,1,1,0,0,2,Orthodox,187.96,190.5,185,0,1,0,4.57,0.44,0,2.16,0.32,2,3,22,0,0,0,4,1,0,0,5,Orthodox,185.42,187.96,185,32,30,0,1,0,-3,-3,-16,0,0,0,2.54,2.54,-2,0.4,0.5,-1.65,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,260,200,1000,1800,800,175
Marina Rodriguez,Amanda Ribas,250,-335,250,29.85074627,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Strawweight,FEMALE,3,0,4,0,4.71,0.45,1.9,2.28,0.54,4,0,9,0,0,0,2,0,2,0,4,Orthodox,160.02,167.64,125,1,0,2,5.04,0.5,0.2,0.38,0.33,2,1,16,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,115,33,27,-1,4,2,1,-1,-7,0,-1,2,-7.62,2.54,-6,-0.33,1.7,1.9,0,1,10,8,,,8,,,,,,,,,,,,,10,,,,,,,,,,,Red,KO/TKO,,,,,375,125,1800,165,1000,1000
Brad Tavares,Antonio Carlos Junior,-134,105,74.62686567,105,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,3,2,0,0,1.91,0.44,0.9,3.7,0.44,5,4,29,0,0,0,2,0,5,0,7,Orthodox,187.96,200.66,185,2,0,0,3,0.4,0,1.03,0.27,5,6,49,0,0,2,8,2,0,0,12,Orthodox,185.42,187.96,185,33,30,0,0,0,-5,-2,-20,0,-2,5,2.54,12.7,-3,-1.09,0.9,2.67,0,1,,14,,,,,,,14,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,,,,175,250,1400,275,550,800
Julianna Pena,Sara McMann,105,-130,105,76.92307692,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,2.39,0.46,0.6,4.51,0.63,5,5,34,1,0,1,5,1,3,0,10,Orthodox,167.64,167.64,135,1,0,0,2.8,0.47,0.8,2.73,0.51,4,2,16,0,0,0,3,2,0,0,5,Orthodox,167.64,175.26,135,31,40,-1,1,1,5,3,18,1,-1,3,0,-7.62,9,-0.41,-0.2,1.78,0,1,9,7,,,,7,,,,,,,,,,,,,9,,,,,,,,,,Red,SUB,,,,,250,150,475,375,900,1000
Khalil Rountree Jr.,Marcin Prachnio,-335,250,29.85074627,250,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,3,3,0,0,3.26,0.48,0,0,0,0,3,3,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,205,1,0,0,3.01,0.4,0.2,0,0,3,4,15,0,0,0,1,3,0,0,4,Southpaw,185.42,193.04,205,30,32,2,0,-3,-4,-1,-12,0,-3,0,5.08,-5.08,2,0.25,-0.2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,,,,,650,,2200,,400
Nik Lentz,Movsar Evloev,390,-560,390,17.85714286,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Catch Weight,MALE,3,0,3,0,4.44,0.43,0,3,0.33,3,0,9,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,145,2,0,1,3.46,0.48,1.2,3.41,0.33,4,8,64,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,145,36,26,-2,3,-1,-11,-8,-55,0,-3,-2,-2.54,10.16,-10,0.98,-1.2,-0.41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,,,,700,-175,950,550,1400,500
Amir Albazi,Zhalgas Zhumagulov,-106,-118,94.33962264,84.74576271,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Flyweight,MALE,3,1,0,0,4.4,0.55,0,2,0.18,0,1,3,0,0,0,0,0,0,0,0,Switch,162.56,167.64,125,0,1,0,2.55,0.42,3.2,3.19,1,1,0,1,0,0,0,0,0,1,0,1,Orthodox,165.1,172.72,125,27,32,1,-1,-1,-1,1,2,0,0,-1,-2.54,-5.08,5,1.85,-3.2,-1.19,0,1,,15,,,,,,,,,,,,15,,,,,,,,,,,,,,,Red,U-DEC,,,,,190,160,425,1000,800,675
Michael Chiesa,Neil Magny,120,-148,120,67.56756757,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,5,0,3,0,3.96,0.48,0.3,2.63,0.45,7,6,61,0,0,1,10,5,1,0,17,Orthodox,190.5,203.2,170,0,3,0,2.07,0.39,1.1,3.84,0.51,3,4,30,0,0,0,4,0,6,0,10,Southpaw,185.42,190.5,170,33,33,0,0,4,7,2,31,0,5,-5,5.08,12.7,0,1.89,-0.8,-1.21,1,1,9,8,,,,,,,,8,,,,,,,,,,,,,9,,,,,,Red,U-DEC,,,,,425,150,250,1000,900,425
Warlley Alves,Mounir Lazzez,185,-230,185,43.47826087,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,3,0,1,0,6.53,0.55,0,4,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,185.42,193.04,170,1,0,0,3.01,0.46,1,1.39,0.52,4,4,27,0,0,0,2,2,3,0,7,Orthodox,180.34,182.88,170,30,33,-1,1,-3,-6,-4,-24,0,-2,-3,5.08,10.16,3,3.52,-1,2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,525,250,400,1200,850,125
Ike Villanueva,Vinicius Moreira,-134,110,74.62686567,110,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,3,0,0,2.79,0.6,1.7,2.61,0.18,1,3,5,0,0,0,0,0,1,0,1,Orthodox,193.04,193.04,205,2,0,0,3.14,0.37,0,0,0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,225,36,31,1,0,1,1,1,2,0,0,1,7.62,7.62,-5,-0.35,1.7,2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,,,,600,550,2500,175,115,800
Roxanne Modafferi,Viviane Araujo,260,-335,260,29.85074627,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,4.77,0.5,0,1.88,0.53,2,1,12,0,0,0,2,1,0,0,3,Orthodox,162.56,172.72,125,0,1,0,3.14,0.31,0.1,1.55,0.25,1,7,32,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,38,34,0,0,1,-1,-6,-20,-1,0,0,-7.62,-2.54,-4,1.63,-0.1,0.33,1,1,9,8,8,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,U-DEC,,,,,400,-135,900,850,2000,300
